order_id,order_date,customer_id,customer_segment,region,state,product_category,product_name,sales,quantity,discount,profit,profit_margin,order_month,average_order_value,year,month_name
SO-100414,2023-01-01,CUST-1706,Corporate,Central,Michigan,Furniture,Conference Table,936.38,10,0.0,127.99,0.1367,2023-01,93.64,2023,January
SO-102257,2023-01-01,CUST-1377,Corporate,West,Arizona,Furniture,Filing Cabinet,764.79,1,0.05,140.42,0.1836,2023-01,764.79,2023,January
SO-101233,2023-01-02,CUST-1532,Corporate,West,Colorado,Office Supplies,Desk Organizer,504.59,4,0.2,28.9,0.0573,2023-01,126.15,2023,January
SO-101244,2023-01-02,CUST-1116,Home Office,South,Georgia,Technology,USB-C Docking Station,1153.74,1,0.2,40.58,0.0352,2023-01,1153.74,2023,January
SO-101644,2023-01-02,CUST-1754,Consumer,East,New Jersey,Office Supplies,Desk Organizer,384.87,3,0.0,62.63,0.1627,2023-01,128.29,2023,January
SO-102142,2023-01-02,CUST-1444,Corporate,West,Colorado,Office Supplies,Toner Cartridge,153.65,1,0.0,30.01,0.1953,2023-01,153.65,2023,January
SO-102438,2023-01-03,CUST-1022,Corporate,West,Oregon,Office Supplies,Desk Organizer,223.18,2,0.15,26.5,0.1187,2023-01,111.59,2023,January
SO-100990,2023-01-04,CUST-1184,Home Office,Central,Ohio,Office Supplies,Premium Notebook Pack,143.99,1,0.0,17.07,0.1185,2023-01,143.99,2023,January
SO-101182,2023-01-04,CUST-1293,Home Office,South,Florida,Office Supplies,Desk Organizer,544.11,4,0.15,77.29,0.142,2023-01,136.03,2023,January
SO-101651,2023-01-04,CUST-1546,Corporate,South,Louisiana,Office Supplies,Toner Cartridge,196.16,4,0.1,11.49,0.0586,2023-01,49.04,2023,January
SO-102365,2023-01-05,CUST-1517,Corporate,West,Oregon,Technology,USB-C Docking Station,1739.63,2,0.15,336.11,0.1932,2023-01,869.82,2023,January
SO-101288,2023-01-06,CUST-1377,Home Office,Central,Texas,Technology,Laptop Pro 14,1386.96,2,0.0,373.91,0.2696,2023-01,693.48,2023,January
SO-101463,2023-01-06,CUST-1859,Home Office,South,Tennessee,Technology,Cloud Security Suite,482.15,2,0.05,148.6,0.3082,2023-01,241.08,2023,January
SO-102312,2023-01-06,CUST-1215,Corporate,South,North Carolina,Office Supplies,Printer Paper Case,1011.1,8,0.1,118.35,0.1171,2023-01,126.39,2023,January
SO-100863,2023-01-07,CUST-1340,Home Office,East,Virginia,Furniture,Conference Table,4824.49,4,0.0,977.73,0.2027,2023-01,1206.12,2023,January
SO-100824,2023-01-08,CUST-1170,Corporate,South,Georgia,Office Supplies,Toner Cartridge,24.15,1,0.3,-0.87,-0.036,2023-01,24.15,2023,January
SO-101663,2023-01-08,CUST-1077,Consumer,West,Colorado,Office Supplies,Desk Organizer,146.94,2,0.05,27.83,0.1894,2023-01,73.47,2023,January
SO-101712,2023-01-08,CUST-1359,Corporate,West,Washington,Office Supplies,Ballpoint Pen Set,710.82,3,0.1,149.41,0.2102,2023-01,236.94,2023,January
SO-101936,2023-01-08,CUST-1294,Consumer,East,Massachusetts,Technology,Laptop Pro 14,1229.22,2,0.1,314.47,0.2558,2023-01,614.61,2023,January
SO-102132,2023-01-08,CUST-1066,Home Office,South,North Carolina,Furniture,Ergonomic Office Chair,751.53,3,0.2,-13.84,-0.0184,2023-01,250.51,2023,January
SO-102041,2023-01-09,CUST-1139,Corporate,East,Virginia,Office Supplies,Ballpoint Pen Set,31.38,1,0.05,7.75,0.247,2023-01,31.38,2023,January
SO-100628,2023-01-11,CUST-1306,Corporate,West,Washington,Office Supplies,Toner Cartridge,1457.16,8,0.1,323.8,0.2222,2023-01,182.14,2023,January
SO-100894,2023-01-11,CUST-1852,Corporate,West,Arizona,Office Supplies,Ballpoint Pen Set,186.89,4,0.2,19.39,0.1038,2023-01,46.72,2023,January
SO-101002,2023-01-11,CUST-1018,Corporate,West,California,Office Supplies,Ballpoint Pen Set,169.34,3,0.3,-2.51,-0.0148,2023-01,56.45,2023,January
SO-102016,2023-01-11,CUST-1768,Corporate,East,Virginia,Furniture,Conference Table,266.59,1,0.15,46.99,0.1763,2023-01,266.59,2023,January
SO-100445,2023-01-12,CUST-1284,Consumer,Central,Ohio,Furniture,Filing Cabinet,1295.17,2,0.05,63.25,0.0488,2023-01,647.58,2023,January
SO-101912,2023-01-13,CUST-1045,Corporate,East,New Jersey,Technology,Laptop Pro 14,780.86,1,0.0,177.1,0.2268,2023-01,780.86,2023,January
SO-102094,2023-01-13,CUST-1053,Home Office,West,Oregon,Office Supplies,Desk Organizer,241.37,1,0.0,49.23,0.204,2023-01,241.37,2023,January
SO-100620,2023-01-14,CUST-1771,Consumer,East,New Jersey,Furniture,Ergonomic Office Chair,1739.24,4,0.0,336.19,0.1933,2023-01,434.81,2023,January
SO-101891,2023-01-14,CUST-1870,Corporate,West,Oregon,Technology,Wireless Keyboard,4710.38,8,0.1,833.37,0.1769,2023-01,588.8,2023,January
SO-102368,2023-01-14,CUST-1563,Consumer,West,Arizona,Office Supplies,Premium Notebook Pack,509.79,5,0.05,121.58,0.2385,2023-01,101.96,2023,January
SO-100362,2023-01-15,CUST-1259,Corporate,West,California,Technology,Wireless Keyboard,2550.9,2,0.0,436.09,0.171,2023-01,1275.45,2023,January
SO-100393,2023-01-15,CUST-1081,Consumer,West,Washington,Furniture,Filing Cabinet,1489.01,4,0.1,272.3,0.1829,2023-01,372.25,2023,January
SO-100722,2023-01-15,CUST-1775,Consumer,Central,Texas,Furniture,Ergonomic Office Chair,1215.9,3,0.3,-102.9,-0.0846,2023-01,405.3,2023,January
SO-100336,2023-01-16,CUST-1445,Corporate,Central,Illinois,Office Supplies,Desk Organizer,200.01,1,0.15,34.94,0.1747,2023-01,200.01,2023,January
SO-100477,2023-01-16,CUST-1594,Corporate,West,Washington,Technology,Noise-Canceling Headset,1088.27,1,0.0,257.54,0.2367,2023-01,1088.27,2023,January
SO-101428,2023-01-16,CUST-1655,Consumer,East,Massachusetts,Technology,Laptop Pro 14,6930.66,6,0.0,1658.35,0.2393,2023-01,1155.11,2023,January
SO-100808,2023-01-18,CUST-1417,Home Office,South,North Carolina,Furniture,Conference Table,3006.28,4,0.3,132.15,0.044,2023-01,751.57,2023,January
SO-102373,2023-01-18,CUST-1346,Corporate,East,Pennsylvania,Furniture,Filing Cabinet,163.63,2,0.1,9.33,0.057,2023-01,81.82,2023,January
SO-100081,2023-01-20,CUST-1706,Home Office,South,Tennessee,Office Supplies,Premium Notebook Pack,157.31,8,0.3,-17.91,-0.1139,2023-01,19.66,2023,January
SO-100662,2023-01-22,CUST-1601,Corporate,West,Arizona,Office Supplies,Toner Cartridge,127.97,4,0.1,6.28,0.0491,2023-01,31.99,2023,January
SO-101880,2023-01-23,CUST-1615,Consumer,West,Arizona,Furniture,Bookcase,681.74,1,0.2,-9.23,-0.0135,2023-01,681.74,2023,January
SO-100993,2023-01-24,CUST-1381,Consumer,West,Arizona,Technology,USB-C Docking Station,1580.41,3,0.05,434.54,0.275,2023-01,526.8,2023,January
SO-100486,2023-01-25,CUST-1442,Consumer,West,Arizona,Technology,Noise-Canceling Headset,1013.79,1,0.2,109.76,0.1083,2023-01,1013.79,2023,January
SO-100788,2023-01-25,CUST-1146,Consumer,Central,Ohio,Technology,Laptop Pro 14,4207.77,3,0.0,798.08,0.1897,2023-01,1402.59,2023,January
SO-102349,2023-01-25,CUST-1033,Corporate,South,North Carolina,Office Supplies,Desk Organizer,211.14,6,0.0,41.63,0.1972,2023-01,35.19,2023,January
SO-101900,2023-01-26,CUST-1153,Home Office,Central,Michigan,Technology,Cloud Security Suite,17743.16,10,0.0,5759.85,0.3246,2023-01,1774.32,2023,January
SO-100306,2023-01-27,CUST-1659,Home Office,Central,Texas,Office Supplies,Premium Notebook Pack,1065.0,4,0.0,260.62,0.2447,2023-01,266.25,2023,January
SO-101533,2023-01-27,CUST-1712,Corporate,Central,Ohio,Office Supplies,Toner Cartridge,64.78,3,0.1,10.05,0.1551,2023-01,21.59,2023,January
