Order ID,Order Date,Customer ID,Customer Segment,Region,State,Product Category,Product Name,Sales,Quantity,Discount,Profit
SO-102082,2025-06-23,CUST-1073,Corporate,East,New Jersey,Technology,Wireless Keyboard,330.23,1,0.05,72.7
SO-100434,2024-07-14,CUST-1026,Consumer,East,Pennsylvania,Technology,Noise-Canceling Headset,3295.94,3,0.05,781.81
SO-101725,2024-10-03,CUST-1770,Corporate,East,New York,Technology,Noise-Canceling Headset,1655.25,1,0.05,402.61
SO-101252,2023-04-16,CUST-1169,Consumer,East,Pennsylvania,Technology,Cloud Security Suite,6805.53,6,0.1,1574.84
SO-100094,2023-08-14,CUST-1116,Consumer,Central,Texas,Technology,Wireless Keyboard,1109.27,1,0.0,183.42
SO-100903,2023-10-10,CUST-1010,Home Office,East,New York,Office Supplies,Ballpoint Pen Set,165.9,2,0.2,8.83
SO-102055,2023-08-25,CUST-1658,Corporate,South,North Carolina,Office Supplies,Ballpoint Pen Set,389.33,8,0.2,72.29
SO-101230,2024-01-02,CUST-1784,Corporate,West,Arizona,Technology,Wireless Keyboard,3012.54,8,0.0,427.03
SO-100768,2025-03-29,CUST-1849,Consumer,West,Arizona,Office Supplies,Printer Paper Case,84.61,2,0.0,20.04
SO-100600,2024-09-27,CUST-1433,Consumer,South,Louisiana,Office Supplies,Ballpoint Pen Set,353.86,3,0.2,23.2
SO-101863,2024-05-17,CUST-1395,Corporate,South,Georgia,Office Supplies,Printer Paper Case,404.18,3,0.0,81.0
SO-101607,2023-12-17,CUST-1545,Corporate,East,New York,Furniture,Standing Desk,2114.76,3,0.2,254.24
SO-100355,2025-04-21,CUST-1184,Consumer,East,New York,Furniture,Standing Desk,867.2,1,0.05,58.59
SO-100369,2025-03-29,CUST-1596,Consumer,West,Arizona,Technology,Laptop Pro 14,1358.03,1,0.0,267.4
SO-101946,2025-08-02,CUST-1664,Consumer,Central,Ohio,Furniture,Bookcase,4662.94,6,0.0,750.94
SO-100671,2023-10-09,CUST-1638,Consumer,West,California,Technology,USB-C Docking Station,2355.53,5,0.1,604.84
SO-100974,2025-04-05,CUST-1705,Consumer,West,California,Office Supplies,Toner Cartridge,96.25,2,0.0,10.48
SO-102363,2023-03-08,CUST-1235,Consumer,West,Washington,Technology,Wireless Keyboard,5079.24,4,0.0,856.46
SO-101939,2023-03-23,CUST-1421,Consumer,East,New Jersey,Furniture,Conference Table,3676.38,5,0.2,337.44
SO-101166,2023-09-28,CUST-1422,Consumer,West,California,Technology,Wireless Keyboard,1529.47,1,0.1,434.83
SO-101195,2025-07-13,CUST-1474,Consumer,East,New Jersey,Office Supplies,Toner Cartridge,970.64,5,0.2,61.86
SO-100415,2024-07-19,CUST-1255,Corporate,South,Louisiana,Office Supplies,Premium Notebook Pack,67.29,2,0.0,10.3
SO-100868,2025-11-29,CUST-1441,Consumer,Central,Texas,Furniture,Standing Desk,904.46,1,0.05,84.9
SO-101300,2025-07-10,CUST-1246,Consumer,South,Florida,Technology,Laptop Pro 14,526.48,2,0.05,134.81
SO-101899,2025-01-19,CUST-1820,Home Office,East,New York,Technology,USB-C Docking Station,1499.71,1,0.0,386.28
SO-101086,2024-08-29,CUST-1269,Consumer,Central,Missouri,Furniture,Ergonomic Office Chair,328.88,1,0.05,70.06
SO-102043,2023-05-27,CUST-1293,Consumer,East,New York,Office Supplies,Ballpoint Pen Set,122.63,1,0.3,-12.24
SO-101451,2025-05-17,CUST-1273,Consumer,West,Colorado,Office Supplies,Desk Organizer,1323.02,10,0.2,79.74
SO-100169,2025-07-03,CUST-1163,Consumer,Central,Michigan,Office Supplies,Printer Paper Case,158.28,2,0.0,36.97
SO-101613,2023-06-11,CUST-1074,Consumer,South,Louisiana,Technology,Cloud Security Suite,943.46,1,0.1,163.26
SO-102354,2025-07-13,CUST-1600,Home Office,West,Arizona,Technology,Cloud Security Suite,299.63,1,0.05,86.11
SO-100260,2025-12-20,CUST-1782,Home Office,West,Colorado,Office Supplies,Printer Paper Case,143.29,2,0.05,32.7
SO-100176,2023-09-30,CUST-1305,Consumer,Central,Michigan,Office Supplies,Desk Organizer,607.38,4,0.0,61.16
SO-102378,2024-03-18,CUST-1274,Consumer,West,California,Office Supplies,Ballpoint Pen Set,992.76,10,0.0,126.0
SO-102191,2023-06-10,CUST-1109,Corporate,East,New Jersey,Office Supplies,Toner Cartridge,490.04,4,0.15,33.12
SO-101304,2023-09-29,CUST-1779,Corporate,West,California,Technology,Wireless Keyboard,622.46,4,0.1,92.88
SO-100212,2024-09-06,CUST-1163,Consumer,East,New York,Technology,Laptop Pro 14,880.32,1,0.3,14.4
SO-102370,2025-09-11,CUST-1677,Corporate,East,New York,Office Supplies,Ballpoint Pen Set,1026.37,8,0.2,148.42
SO-101489,2025-05-21,CUST-1490,Corporate,South,Louisiana,Technology,Noise-Canceling Headset,2223.47,10,0.0,568.66
SO-101579,2025-02-03,CUST-1232,Home Office,South,North Carolina,Office Supplies,Premium Notebook Pack,255.4,1,0.0,60.95
SO-100411,2024-01-02,CUST-1184,Consumer,West,Colorado,Technology,Noise-Canceling Headset,1298.48,2,0.1,353.34
SO-100618,2023-08-16,CUST-1370,Corporate,South,Louisiana,Office Supplies,Printer Paper Case,232.02,1,0.0,52.43
SO-101993,2023-09-14,CUST-1767,Corporate,West,Oregon,Office Supplies,Premium Notebook Pack,217.62,1,0.0,63.62
SO-100680,2024-07-16,CUST-1413,Home Office,East,Virginia,Office Supplies,Toner Cartridge,256.17,1,0.0,67.75
SO-102464,2023-10-06,CUST-1644,Consumer,South,Florida,Office Supplies,Toner Cartridge,411.62,2,0.0,80.73
SO-101845,2024-11-25,CUST-1016,Corporate,East,Massachusetts,Technology,Cloud Security Suite,825.92,2,0.0,168.7
SO-100773,2025-05-24,CUST-1676,Consumer,Central,Michigan,Technology,Cloud Security Suite,2104.74,2,0.2,186.92
SO-101091,2025-01-16,CUST-1098,Consumer,South,Georgia,Technology,Wireless Keyboard,2971.77,5,0.1,715.97
SO-102019,2025-03-09,CUST-1378,Corporate,South,North Carolina,Office Supplies,Toner Cartridge,146.86,6,0.0,17.78
SO-101084,2024-04-11,CUST-1724,Consumer,West,Oregon,Office Supplies,Desk Organizer,279.35,3,0.0,49.32
SO-101381,2025-02-19,CUST-1872,Corporate,Central,Michigan,Furniture,Ergonomic Office Chair,776.01,1,0.2,-24.69
SO-100057,2024-04-17,CUST-1611,Consumer,East,Pennsylvania,Office Supplies,Premium Notebook Pack,240.4,4,0.0,52.39
SO-101101,2023-05-23,CUST-1587,Corporate,South,Georgia,Furniture,Bookcase,595.46,2,0.2,66.57
SO-102052,2025-09-22,CUST-1234,Consumer,East,Pennsylvania,Furniture,Standing Desk,744.48,1,0.0,165.79
SO-100322,2024-05-23,CUST-1560,Home Office,West,Oregon,Furniture,Standing Desk,640.1,3,0.2,13.75
SO-102038,2024-11-05,CUST-1098,Home Office,West,Oregon,Office Supplies,Premium Notebook Pack,94.84,1,0.0,18.55
SO-100783,2025-01-25,CUST-1748,Consumer,West,Colorado,Technology,Noise-Canceling Headset,5538.82,10,0.1,505.93
SO-101533,2023-01-27,CUST-1712,Corporate,Central,Ohio,Office Supplies,Toner Cartridge,64.78,3,0.1,10.05
SO-101117,2023-06-21,CUST-1193,Consumer,Central,Texas,Furniture,Filing Cabinet,1900.67,2,0.1,273.01
SO-101940,2023-05-26,CUST-1695,Consumer,West,Arizona,Furniture,Bookcase,1078.98,3,0.0,200.34
SO-101227,2024-02-05,CUST-1537,Consumer,South,Tennessee,Office Supplies,Printer Paper Case,190.32,1,0.05,35.82
SO-100603,2024-09-07,CUST-1676,Consumer,South,Louisiana,Furniture,Bookcase,185.64,1,0.0,29.05
SO-101827,2025-01-05,CUST-1807,Consumer,Central,Missouri,Office Supplies,Premium Notebook Pack,545.13,2,0.0,141.05
SO-102329,2023-02-21,CUST-1819,Consumer,West,Oregon,Office Supplies,Desk Organizer,246.64,4,0.15,46.85
SO-101367,2023-11-27,CUST-1559,Home Office,Central,Ohio,Furniture,Standing Desk,208.6,1,0.05,48.84
SO-101125,2024-04-09,CUST-1372,Home Office,South,Georgia,Technology,USB-C Docking Station,1489.53,2,0.1,263.56
SO-101936,2023-01-08,CUST-1294,Consumer,East,Massachusetts,Technology,Laptop Pro 14,1229.22,2,0.1,314.47
SO-100566,2023-07-14,CUST-1307,Consumer,Central,Michigan,Office Supplies,Desk Organizer,248.35,2,0.0,65.75
SO-102021,2024-04-22,CUST-1255,Corporate,West,Colorado,Office Supplies,Desk Organizer,115.08,3,0.1,
SO-102449,2025-11-28,CUST-1027,Corporate,West,Colorado,Office Supplies,Ballpoint Pen Set,104.25,1,0.05,9.5
SO-100283,2025-10-03,CUST-1661,Home Office,South,Florida,Technology,Cloud Security Suite,2986.37,2,0.15,328.66
SO-101642,2023-06-06,CUST-1411,Corporate,West,Oregon,Office Supplies,Printer Paper Case,513.71,3,0.15,60.9
SO-100325,2025-12-29,CUST-1293,Corporate,West,Arizona,Furniture,Ergonomic Office Chair,585.84,1,0.0,75.02
SO-100451,2024-01-04,CUST-1630,Corporate,South,Georgia,Office Supplies,Printer Paper Case,68.26,2,0.15,11.93
SO-100930,2025-06-11,CUST-1378,Corporate,West,Arizona,Office Supplies,Toner Cartridge,2057.96,8,0.0,574.42
SO-101994,2023-03-02,CUST-1386,Consumer,West,Colorado,Office Supplies,Printer Paper Case,159.73,1,0.0,30.66
SO-100247,2024-05-17,CUST-1106,Consumer,East,New Jersey,Furniture,Ergonomic Office Chair,1202.0,1,0.1,203.97
SO-101176,2024-05-23,CUST-1746,Home Office,East,New York,Office Supplies,Toner Cartridge,21.61,1,0.0,2.16
SO-100519,2025-11-20,CUST-1574,Home Office,South,North Carolina,Technology,Cloud Security Suite,901.79,1,0.0,243.15
SO-101996,2023-09-20,CUST-1431,Consumer,East,Pennsylvania,Furniture,Ergonomic Office Chair,1621.51,10,0.1,320.42
SO-102114,2023-05-06,CUST-1007,Home Office,East,Pennsylvania,Technology,Cloud Security Suite,6691.74,8,0.0,1665.4
SO-101214,2025-10-14,CUST-1385,Corporate,West,Arizona,Technology,Noise-Canceling Headset,1782.51,2,0.0,275.24
SO-101378,2025-07-14,CUST-1446,Home Office,West,California,Technology,USB-C Docking Station,2854.29,3,0.0,485.18
SO-101762,2025-05-08,CUST-1364,Corporate,South,Tennessee,Office Supplies,Premium Notebook Pack,158.16,5,0.0,23.81
SO-101289,2024-10-27,CUST-1681,Corporate,South,Tennessee,Office Supplies,Desk Organizer,941.84,5,0.0,167.5
SO-102004,2024-06-17,CUST-1597,Consumer,Central,Missouri,Furniture,Bookcase,1168.43,1,0.0,238.22
SO-101777,2024-06-10,CUST-1038,Consumer,Central,Michigan,Office Supplies,Premium Notebook Pack,1970.91,8,0.0,521.99
SO-102239,2023-12-10,CUST-1722,Consumer,South,Tennessee,Office Supplies,Premium Notebook Pack,880.91,10,0.1,86.74
SO-101273,2025-09-07,CUST-1652,Consumer,South,North Carolina,Office Supplies,Desk Organizer,92.24,3,0.15,6.52
SO-101058,2023-10-23,CUST-1067,Corporate,South,Florida,Office Supplies,Toner Cartridge,54.17,1,0.0,7.83
SO-100809,2025-10-28,CUST-1640,Consumer,East,Pennsylvania,Office Supplies,Desk Organizer,837.45,5,0.0,109.13
SO-100368,2024-02-03,CUST-1282,Corporate,East,Virginia,Office Supplies,Toner Cartridge,54.1,1,0.0,5.41
SO-100891,2024-04-29,CUST-1452,Corporate,East,Pennsylvania,Furniture,Filing Cabinet,1297.92,1,0.0,112.58
SO-100568,2024-01-18,CUST-1579,Corporate,West,Washington,Office Supplies,Desk Organizer,206.24,3,0.15,33.16
SO-101369,2023-08-24,CUST-1804,Corporate,South,Georgia,Office Supplies,Desk Organizer,14.34,1,0.1,3.62
SO-102252,2025-11-02,CUST-1184,Corporate,East,Massachusetts,Technology,Noise-Canceling Headset,7972.92,5,0.1,1414.75
SO-102020,2024-03-24,CUST-1682,Corporate,East,Virginia,Technology,USB-C Docking Station,9127.19,8,0.2,705.4
SO-101492,2025-10-20,CUST-1171,Home Office,East,Pennsylvania,Furniture,Standing Desk,2294.88,3,0.0,422.38
SO-101473,2023-08-11,CUST-1155,Corporate,West,Oregon,Technology,Laptop Pro 14,1083.06,8,0.0,336.96
SO-100179,2023-04-10,CUST-1749,Consumer,East,New York,Technology,Wireless Keyboard,5549.47,4,0.0,1879.59
SO-100802,2025-08-20,CUST-1515,Consumer,West,Oregon,Office Supplies,Printer Paper Case,68.8,1,0.2,-2.57
